                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2131,                 2.2101,                 1.5216,                0.23371,                0.29629,                 0.1738,                0.09542,                 1.4835,                 2.4701,                 1.8355,             0.00037008,             0.00037008,             0.00037008
                      2,                 1.2969,                 2.1795,                 1.6165,                0.32455,                0.35131,                0.24371,                0.14397,                 1.4217,                 2.3493,                 1.7517,             0.00072576,             0.00072576,             0.00072576
                      3,                 1.2625,                 2.1378,                 1.5922,                0.36295,                0.39988,                0.30759,                  0.195,                 1.2875,                 2.0554,                 1.6692,              0.0010668,              0.0010668,              0.0010668
                      4,                 1.2266,                  2.051,                 1.5695,                0.41373,                  0.405,                0.36203,                0.23414,                 1.2136,                 1.9792,                  1.585,               0.001045,               0.001045,               0.001045
                      5,                 1.1689,                 1.9253,                 1.5183,                0.44566,                 0.4346,                0.41537,                0.27652,                 1.1675,                 1.7766,                 1.5528,               0.001023,               0.001023,               0.001023
                      6,                 1.1441,                 1.8497,                 1.4947,                0.48394,                0.45055,                0.44384,                0.29067,                 1.1494,                 1.6983,                 1.5188,               0.001001,               0.001001,               0.001001
                      7,                 1.1192,                 1.7808,                  1.472,                0.49534,                 0.4778,                0.47633,                0.31762,                 1.1034,                 1.6388,                 1.4844,             0.00097901,             0.00097901,             0.00097901
                      8,                 1.0892,                 1.7222,                 1.4565,                0.48582,                0.50643,                0.49389,                0.32732,                 1.0934,                 1.5659,                 1.4571,             0.00095702,             0.00095702,             0.00095702
                      9,                 1.0742,                  1.667,                 1.4419,                0.51651,                 0.4864,                0.49583,                0.33804,                 1.0835,                 1.5145,                 1.4633,             0.00093502,             0.00093502,             0.00093502
                     10,                 1.0568,                 1.6209,                 1.4316,                0.51219,                0.50565,                 0.4954,                0.33798,                 1.0577,                  1.493,                 1.4371,             0.00091302,             0.00091302,             0.00091302
                     11,                 1.0487,                 1.5746,                 1.4198,                0.56049,                0.47952,                0.51691,                0.35695,                 1.0545,                 1.4875,                 1.4261,             0.00089102,             0.00089102,             0.00089102
                     12,                 1.0284,                 1.5289,                 1.4032,                0.54906,                0.50152,                0.52484,                0.36544,                 1.0319,                 1.4299,                 1.4099,             0.00086902,             0.00086902,             0.00086902
                     13,                 1.0271,                 1.4792,                 1.3962,                  0.567,                0.50795,                0.54758,                0.38379,                 1.0337,                 1.3838,                 1.4156,             0.00084703,             0.00084703,             0.00084703
                     14,                 1.0127,                 1.4453,                 1.3875,                0.56056,                0.53258,                0.55407,                0.38897,                 1.0111,                 1.3406,                 1.3832,             0.00082503,             0.00082503,             0.00082503
                     15,                0.99859,                 1.4132,                 1.3765,                0.58425,                0.54521,                0.56921,                0.39771,                 1.0071,                 1.3258,                 1.3776,             0.00080303,             0.00080303,             0.00080303
                     16,                0.99899,                 1.3929,                 1.3768,                0.57776,                0.52296,                0.56218,                0.40016,                 1.0088,                 1.3504,                 1.3877,             0.00078103,             0.00078103,             0.00078103
                     17,                0.98804,                  1.356,                 1.3647,                0.58667,                0.53842,                0.57242,                 0.4064,                 1.0108,                 1.3357,                 1.3891,             0.00075904,             0.00075904,             0.00075904
                     18,                0.97141,                 1.3217,                 1.3599,                0.61336,                0.52595,                0.57875,                0.41122,                  1.001,                 1.3405,                 1.3815,             0.00073704,             0.00073704,             0.00073704
                     19,                 0.9678,                 1.2767,                 1.3474,                 0.6048,                0.57479,                0.60053,                0.42658,                0.99039,                  1.268,                 1.3807,             0.00071504,             0.00071504,             0.00071504
                     20,                0.95895,                 1.2606,                 1.3414,                0.63795,                0.55526,                0.61167,                0.43769,                0.98423,                 1.2108,                 1.3624,             0.00069304,             0.00069304,             0.00069304
                     21,                0.95464,                 1.2268,                 1.3371,                0.62408,                0.54676,                0.59781,                0.42933,                0.98285,                 1.2586,                  1.381,             0.00067104,             0.00067104,             0.00067104
                     22,                0.94572,                 1.1896,                 1.3271,                0.65367,                0.55823,                 0.6152,                0.43761,                0.98095,                  1.226,                  1.361,             0.00064905,             0.00064905,             0.00064905
                     23,                0.93572,                  1.171,                  1.324,                0.66699,                 0.5546,                 0.6211,                0.44752,                0.96541,                 1.2061,                  1.349,             0.00062705,             0.00062705,             0.00062705
                     24,                0.91837,                  1.141,                 1.3086,                0.67875,                0.54123,                0.62281,                 0.4479,                0.96832,                 1.1866,                 1.3549,             0.00060505,             0.00060505,             0.00060505
                     25,                0.91673,                 1.1137,                 1.3037,                0.62621,                0.59566,                0.63519,                0.45507,                0.95695,                  1.161,                 1.3461,             0.00058305,             0.00058305,             0.00058305
                     26,                0.90783,                 1.0752,                 1.2965,                0.66303,                0.57224,                0.62637,                0.45019,                0.96718,                 1.1754,                 1.3473,             0.00056105,             0.00056105,             0.00056105
